frame,timestamp_sec,live_vehicles,pred_vehicles_5s,overspeeding_vehicles,lane_crossings,speed_variation,risk_score,pred_risk_score_5s
531,21.24,24,26,4,0,18.104,45.042,48.127
532,21.28,24,26,4,0,18.429,45.172,48.127
533,21.32,23,26,4,0,18.667,44.067,48.143
534,21.36,22,26,2,0,18.366,42.746,48.096
535,21.4,24,26,3,0,17.895,44.958,48.115
536,21.44,23,26,4,0,18.231,43.892,48.085
537,21.48,23,26,3,0,17.091,43.436,48.087
538,21.52,25,26,2,0,18.031,46.212,48.186
539,21.56,25,26,4,0,19.339,46.736,48.302
540,21.6,25,26,4,0,18.704,46.481,48.362
541,21.64,24,26,3,0,19.251,45.5,48.415
542,21.68,24,26,2,0,18.245,45.098,48.435
543,21.72,25,26,4,0,18.449,46.38,48.479
544,21.76,25,26,3,0,18.691,46.476,48.523
545,21.8,24,26,3,0,19.887,45.755,48.584
546,21.84,25,26,4,0,20.012,47.005,48.618
547,21.88,25,26,4,0,19.913,46.965,48.668
548,21.92,25,26,4,0,17.831,46.133,48.695
549,21.96,24,26,5,0,18.422,45.169,48.694
550,22.0,25,26,4,0,18.048,46.219,48.661
551,22.04,25,26,4,0,18.193,46.277,48.631
552,22.08,25,26,6,0,18.535,46.414,48.584
553,22.12,26,26,5,0,20.019,48.208,48.551
554,22.16,25,26,4,0,19.927,46.971,48.478
555,22.2,24,26,4,0,19.375,45.55,48.392
556,22.24,24,26,4,0,20.122,45.849,48.337
557,22.28,24,26,3,0,20.834,46.134,48.264
558,22.32,25,26,4,0,22.858,48.143,48.25
559,22.36,25,26,5,0,23.059,48.224,48.238
560,22.4,24,26,4,0,23.144,47.058,48.162
561,22.44,25,26,5,0,21.65,47.66,48.104
562,22.48,25,26,4,0,21.745,47.698,48.104
563,22.52,24,26,4,0,21.14,46.256,48.105
564,22.56,23,26,3,0,21.932,45.373,48.082
565,22.6,23,26,4,0,20.4,44.76,48.057
566,22.64,23,26,3,0,20.268,44.707,48.077
567,22.68,23,26,3,0,20.064,44.626,48.062
568,22.72,23,26,2,0,19.851,44.54,48.032
569,22.76,22,26,2,0,20.318,43.527,47.963
570,22.8,23,26,3,0,17.783,43.713,47.937
571,22.84,23,26,4,0,17.941,43.776,47.914
572,22.88,23,26,5,0,19.361,44.344,47.877
573,22.92,23,26,4,0,18.693,44.077,47.831
574,22.96,23,26,4,0,19.59,44.436,47.793
575,23.0,23,26,4,0,18.543,44.017,47.725
576,23.04,22,26,4,0,17.383,42.353,47.645
577,23.08,22,25,6,1,18.649,42.86,47.572
578,23.12,22,25,5,0,18.269,42.708,47.494
579,23.16,21,25,5,0,19.188,41.875,47.375
580,23.2,19,25,4,0,15.949,38.18,47.164
581,23.24,20,25,5,0,16.618,39.647,46.995
582,23.28,20,25,4,0,16.727,39.691,46.785
583,23.32,21,25,5,0,21.799,42.92,46.67
584,23.36,23,25,5,0,23.031,45.812,46.637
585,23.4,23,25,6,0,23.153,45.861,46.604
586,23.44,22,25,5,0,22.003,44.201,46.52
587,23.48,22,24,5,0,23.448,44.779,46.407
588,23.52,24,24,5,0,24.133,47.453,46.363
589,23.56,24,24,5,0,23.618,47.247,46.366
590,23.6,24,24,5,0,22.204,46.681,46.35
591,23.64,24,24,5,0,22.645,46.858,46.301
592,23.68,23,24,5,0,23.389,45.956,46.252
593,23.72,24,24,5,0,22.434,46.774,46.201
594,23.76,24,24,5,0,22.91,46.964,46.159
595,23.8,24,24,6,1,23.237,47.095,46.112
596,23.84,24,24,5,1,20.952,46.181,46.044
597,23.88,23,24,5,1,20.611,44.844,45.934
598,23.92,23,24,5,0,19.038,44.215,45.81
599,23.96,24,24,4,0,21.744,46.497,45.707
600,24.0,24,24,5,0,20.877,46.151,45.593
601,24.04,24,24,6,0,21.468,46.387,45.483
602,24.08,24,24,5,0,22.576,46.831,45.385
603,24.12,23,24,5,0,21.229,45.092,45.231
604,24.16,24,24,5,1,19.756,45.702,45.106
605,24.2,22,23,3,0,19.315,43.126,44.958
606,24.24,22,23,3,0,18.067,42.627,44.828
607,24.28,22,23,4,0,17.327,42.331,44.731
608,24.32,23,23,4,0,17.082,43.433,44.626
609,24.36,23,23,4,0,16.683,43.273,44.499
610,24.4,23,23,3,0,17.21,43.484,44.353
611,24.44,23,23,2,0,17.945,43.778,44.189
612,24.48,23,23,1,0,17.79,43.716,44.024
613,24.52,22,23,1,0,18.181,42.672,43.855
614,24.56,21,23,2,0,16.976,40.99,43.593
615,24.6,21,22,2,0,17.376,41.15,43.37
616,24.64,21,22,3,0,16.973,40.989,43.147
617,24.68,20,22,3,0,21.624,41.65,42.944
618,24.72,21,22,3,0,19.188,41.875,42.714
619,24.76,22,22,3,0,18.436,42.775,42.601
620,24.8,21,22,4,0,19.263,41.905,42.424
621,24.84,20,21,4,0,19.878,40.951,42.218
622,24.88,20,21,3,0,18.518,40.407,42.019
623,24.92,21,21,5,0,20.123,42.249,41.887
624,24.96,20,21,6,0,19.938,40.975,41.721
625,25.0,22,21,5,0,22.208,44.283,41.631
626,25.04,22,21,5,0,22.617,44.447,41.568
627,25.08,21,20,6,0,20.815,42.526,41.384
628,25.12,22,20,4,0,21.95,44.18,41.246
629,25.16,20,20,4,0,20.664,41.266,41.006
630,25.2,21,20,5,0,21.956,42.982,40.884
631,25.24,21,20,4,0,23.515,43.606,40.773
632,25.28,21,20,4,0,23.788,43.715,40.641
633,25.32,20,20,4,0,23.465,42.386,40.438
634,25.36,20,19,4,0,24.296,42.718,40.294
635,25.4,20,19,4,0,19.505,40.802,40.098
636,25.44,21,19,4,0,21.518,42.807,39.909
637,25.48,20,19,4,0,19.97,40.988,39.755
638,25.52,21,19,3,0,23.479,43.592,39.624
639,25.56,20,19,4,0,19.867,40.947,39.422
640,25.6,20,18,4,0,20.268,41.107,39.262
641,25.64,19,18,5,0,18.75,39.3,39.086
642,25.68,19,18,3,0,20.227,39.891,38.931
643,25.72,19,18,4,0,20.645,40.058,38.78
644,25.76,19,18,4,0,20.359,39.944,38.662
645,25.8,19,18,3,0,19.037,39.415,38.617
646,25.84,19,18,5,0,17.685,38.874,38.587
647,25.88,20,18,3,0,19.422,40.769,38.552
648,25.92,19,18,5,0,18.015,39.006,38.47
649,25.96,19,17,4,0,16.242,38.297,38.353
650,26.0,21,17,4,1,19.359,41.943,38.365
651,26.04,19,17,4,0,16.413,38.365,38.228
652,26.08,20,17,6,0,16.957,39.783,38.161
653,26.12,19,17,6,0,17.444,38.778,38.061
654,26.16,17,17,3,0,17.099,36.24,37.891
655,26.2,17,17,4,0,17.329,36.331,37.756
656,26.24,17,17,4,0,18.271,36.708,37.658
657,26.28,16,17,5,0,15.789,34.515,37.483
658,26.32,17,17,5,0,17.934,36.574,37.342
659,26.36,17,16,4,0,20.272,37.509,37.311
660,26.4,17,16,4,0,18.31,36.724,37.255
661,26.44,18,16,4,0,21.026,39.01,37.26
662,26.48,18,16,5,0,21.325,39.13,37.107
663,26.52,19,16,3,0,22.018,40.607,37.03
664,26.56,19,16,3,0,22.567,40.827,36.966
665,26.6,19,16,4,0,22.897,40.959,36.971
666,26.64,19,16,3,0,22.794,40.917,36.959
667,26.68,18,16,3,0,21.399,39.16,36.883
668,26.72,18,15,4,0,20.75,38.9,36.797
669,26.76,18,15,4,0,21.348,39.139,36.738
670,26.8,18,15,4,0,20.95,38.98,36.682
671,26.84,17,15,4,0,16.907,36.163,36.54
672,26.88,18,15,4,0,23.461,39.984,36.489
673,26.92,18,15,3,0,22.175,39.47,36.451
674,26.96,17,15,2,0,17.568,36.427,36.346
675,27.0,17,15,2,0,18.002,36.601,36.219
676,27.04,18,15,2,0,16.814,37.326,36.114
677,27.08,18,15,2,0,17.263,37.505,36.074
678,27.12,19,14,2,0,16.022,38.209,36.041
679,27.16,18,14,1,0,16.075,37.03,35.981
680,27.2,18,14,1,0,13.697,36.079,35.889
681,27.24,18,14,1,0,14.53,36.412,35.811
682,27.28,18,14,1,0,13.839,36.136,35.746
683,27.32,18,14,0,0,13.28,35.912,35.664
684,27.36,19,14,0,0,8.325,35.13,35.631
685,27.4,18,14,0,0,9.674,34.47,35.551
686,27.44,18,14,0,0,9.139,34.256,35.418
687,27.48,18,14,1,0,9.52,34.408,35.293
688,27.52,18,14,1,0,9.25,34.3,35.172
689,27.56,18,14,1,0,9.887,34.555,35.05
690,27.6,17,14,1,0,10.771,33.708,34.944
691,27.64,16,14,2,0,10.639,32.456,34.775
692,27.68,17,14,1,0,10.359,33.544,34.629
693,27.72,17,14,0,0,10.011,33.404,34.486
694,27.76,17,14,0,0,9.348,33.139,34.38
695,27.8,17,14,0,0,8.334,32.734,34.241
696,27.84,17,14,0,0,12.951,34.58,34.136
697,27.88,18,14,0,0,13.711,36.085,34.076
698,27.92,18,14,0,0,14.223,36.289,34.047
699,27.96,18,14,1,0,15.39,36.756,34.002
700,28.0,18,14,0,0,15.658,36.863,33.962
701,28.04,18,14,0,0,16.278,37.111,33.934
702,28.08,18,14,0,0,15.702,36.881,33.901
703,28.12,19,14,1,0,17.709,38.884,33.928
704,28.16,19,14,1,0,17.135,38.654,33.954
705,28.2,20,14,1,0,18.176,40.27,33.945
706,28.24,19,14,0,0,18.315,39.126,33.899
707,28.28,19,14,0,0,18.351,39.14,33.839
708,28.32,17,14,0,0,14.717,35.287,33.674
709,28.36,17,14,0,0,15.719,35.688,33.541
710,28.4,17,13,0,0,14.031,35.012,33.434
711,28.44,18,13,0,0,16.05,37.02,33.358
712,28.48,18,13,0,0,15.414,36.766,33.276
713,28.52,18,13,0,0,15.226,36.691,33.192
714,28.56,18,13,0,0,16.021,37.008,33.186
715,28.6,17,13,0,0,15.693,35.677,33.144
716,28.64,17,13,1,0,15.175,35.47,33.094
717,28.68,18,13,1,0,18.399,37.959,33.091
718,28.72,18,13,2,0,21.953,39.381,33.17
719,28.76,16,13,2,0,20.502,36.401,33.168
720,28.8,16,13,2,0,19.328,35.931,33.131
721,28.84,16,13,2,0,18.02,35.408,33.056
722,28.88,17,13,2,0,17.994,36.597,33.043
723,28.92,18,13,2,0,19.52,38.408,33.082
724,28.96,18,13,3,0,18.711,38.085,33.11
725,29.0,17,13,3,0,20.431,37.573,33.122
726,29.04,15,13,3,0,18.142,34.257,33.026
727,29.08,15,13,3,0,17.654,34.061,32.922
728,29.12,15,13,3,0,18.346,34.339,32.804
729,29.16,15,13,3,0,18.58,34.432,32.666
730,29.2,15,13,3,0,18.444,34.378,32.508
731,29.24,15,13,3,0,19.921,34.969,32.363
732,29.28,15,13,3,0,19.483,34.793,32.218
733,29.32,15,12,3,0,18.488,34.395,32.059
734,29.36,15,12,3,0,18.35,34.34,31.904
735,29.4,15,12,3,0,19.385,34.754,31.73
736,29.44,15,12,3,0,18.751,34.5,31.549
737,29.48,16,12,3,0,22.661,37.265,31.45
738,29.52,16,12,3,0,21.935,36.974,31.342
739,29.56,16,12,3,0,20.87,36.548,31.223
740,29.6,16,12,3,0,20.532,36.413,31.102
741,29.64,17,12,2,0,20.103,37.441,30.991
742,29.68,17,12,2,0,19.019,37.008,30.866
743,29.72,17,12,2,0,19.071,37.028,30.74
744,29.76,17,11,2,0,19.542,37.217,30.644
745,29.8,17,11,3,0,20.731,37.693,30.566
746,29.84,17,11,3,0,20.701,37.68,30.441
747,29.88,17,11,3,0,21.425,37.97,30.325
748,29.92,16,11,2,0,22.354,37.142,30.192
749,29.96,16,11,5,0,23.561,37.624,30.114
750,30.0,16,11,3,0,22.803,37.321,30.008
751,30.04,16,11,2,0,21.6,36.84,29.915
752,30.08,16,11,3,0,24.87,38.148,29.861
753,30.12,16,11,2,0,22.655,37.262,29.78
754,30.16,15,11,2,0,20.694,35.278,29.647
755,30.2,16,10,3,0,20.222,36.289,29.542
756,30.24,15,10,3,0,21.996,35.798,29.426
757,30.28,15,10,2,0,20.76,35.304,29.295
758,30.32,15,10,2,0,21.491,35.596,29.2
759,30.36,17,10,3,0,18.476,36.79,29.143
760,30.4,17,10,2,0,20.474,37.59,29.081
761,30.44,16,10,1,0,19.913,36.165,28.963
762,30.48,16,10,1,0,15.515,34.406,28.759
763,30.52,15,10,1,0,16.549,33.62,28.534
764,30.56,16,10,1,0,14.602,34.041,28.36
765,30.6,17,10,1,1,17.064,36.226,28.288
766,30.64,17,10,1,1,17.773,36.509,28.185
767,30.68,17,10,1,0,16.901,36.161,28.073
768,30.72,17,10,0,1,16.695,36.078,27.959
769,30.76,17,9,0,0,17.248,36.299,27.849
770,30.8,17,9,1,0,16.781,36.112,27.737
771,30.84,17,9,0,0,16.086,35.834,27.615
772,30.88,17,9,0,0,14.15,35.06,27.479
773,30.92,19,9,2,0,19.699,39.68,27.554
774,30.96,19,9,2,0,19.437,39.575,27.595
775,31.0,19,10,2,0,20.58,40.032,27.643
776,31.04,18,10,1,0,18.889,38.156,27.637
777,31.08,18,10,2,0,16.451,37.18,27.647
778,31.12,17,10,2,0,15.925,35.77,27.621
779,31.16,17,10,2,0,16.408,35.963,27.606
780,31.2,17,10,1,0,15.297,35.519,27.577
781,31.24,17,10,1,0,14.183,35.073,27.534
782,31.28,18,10,2,0,17.564,37.626,27.567
783,31.32,17,10,3,0,15.993,35.797,27.527
784,31.36,17,10,3,0,16.105,35.842,27.464
785,31.4,17,10,2,0,11.204,33.882,27.392
786,31.44,17,10,4,0,12.34,34.336,27.314
787,31.48,17,10,3,0,12.306,34.322,27.227
788,31.52,17,10,3,0,12.457,34.383,27.2
789,31.56,17,10,4,0,12.716,34.486,27.189
790,31.6,17,10,3,0,12.039,34.216,27.167
791,31.64,17,10,3,0,13.526,34.811,27.145
792,31.68,17,10,4,0,14.193,35.077,27.124
793,31.72,17,10,4,0,12.822,34.529,27.115
794,31.76,17,10,4,0,14.315,35.126,27.128
795,31.8,17,10,5,0,15.327,35.531,27.139
796,31.84,17,10,5,0,13.722,34.889,27.16
797,31.88,17,10,5,0,13.477,34.791,27.179
798,31.92,17,10,4,0,13.013,34.605,27.179
799,31.96,17,10,5,0,11.787,34.115,27.147
800,32.0,17,10,4,0,11.634,34.053,27.138
801,32.04,17,10,5,1,12.043,34.217,27.136
802,32.08,17,10,5,0,12.528,34.411,27.145
803,32.12,17,10,4,0,12.709,34.484,27.195
804,32.16,16,10,5,0,12.55,33.22,27.186
805,32.2,17,10,6,0,12.787,34.515,27.188
806,32.24,17,10,6,0,12.344,34.338,27.194
807,32.28,17,11,3,0,12.02,34.208,27.203
808,32.32,17,11,5,0,12.352,34.341,27.259
809,32.36,16,11,4,0,12.404,33.161,27.287
810,32.4,16,11,4,0,12.373,33.149,27.293
811,32.44,16,11,7,0,12.566,33.226,27.316
812,32.48,16,11,6,0,12.073,33.029,27.338
813,32.52,18,11,5,0,16.465,37.186,27.449
814,32.56,18,11,6,0,16.8,37.32,27.548
815,32.6,18,11,7,0,16.948,37.379,27.638
816,32.64,18,11,6,0,16.155,37.062,27.72
817,32.68,18,11,7,0,16.948,37.379,27.81
818,32.72,18,11,6,0,17.205,37.482,27.902
819,32.76,18,11,5,0,16.405,37.162,27.967
820,32.8,18,11,5,0,17.051,37.42,28.044
821,32.84,18,11,5,0,17.033,37.413,28.123
822,32.88,18,11,6,0,17.243,37.497,28.217
823,32.92,18,12,6,0,17.368,37.547,28.309
824,32.96,18,12,6,0,17.492,37.597,28.41
825,33.0,18,12,6,0,13.67,36.068,28.462
826,33.04,18,12,6,0,13.218,35.887,28.476
827,33.08,18,12,6,0,13.09,35.836,28.5
828,33.12,18,12,6,0,12.406,35.562,28.516
829,33.16,18,12,6,0,13.784,36.114,28.531
830,33.2,18,12,6,0,12.967,35.787,28.463
831,33.24,18,12,6,0,12.995,35.798,28.426
832,33.28,20,12,5,0,19.764,40.906,28.534
833,33.32,20,12,6,0,20.004,41.001,28.709
834,33.36,20,12,6,0,19.776,40.91,28.94
835,33.4,20,12,5,0,19.653,40.861,29.171
836,33.44,20,12,7,0,19.97,40.988,29.374
837,33.48,19,13,5,0,17.178,38.671,29.524
838,33.52,20,13,4,0,19.628,40.851,29.79
839,33.56,20,13,5,0,21.507,41.603,30.074
840,33.6,20,13,4,0,22.639,42.056,30.361
841,33.64,20,13,4,0,22.45,41.98,30.65
842,33.68,19,13,4,0,22.171,40.668,30.885
843,33.72,19,13,3,0,21.863,40.545,31.134
844,33.76,19,14,4,0,19.998,39.799,31.367
845,33.8,19,14,4,0,17.061,38.625,31.571
846,33.84,19,14,4,0,16.91,38.564,31.757
847,33.88,19,14,4,0,16.923,38.569,31.918
848,33.92,19,14,4,0,16.355,38.342,32.06
849,33.96,19,14,3,0,16.483,38.393,32.252
850,34.0,19,14,3,0,16.314,38.326,32.436
851,34.04,19,15,4,0,13.065,37.026,32.59
852,34.08,19,15,4,0,13.335,37.134,32.757
853,34.12,19,15,4,0,12.619,36.847,32.884
854,34.16,19,15,4,0,12.977,36.991,33.028
855,34.2,17,15,3,0,13.405,34.762,33.06
856,34.24,17,15,3,0,13.52,34.808,33.085
857,34.28,18,15,3,0,13.337,35.935,33.137
858,34.32,18,15,3,0,13.512,36.005,33.214
859,34.36,18,15,3,0,13.119,35.848,33.285
860,34.4,18,15,3,0,13.999,36.199,33.371
861,34.44,18,16,3,0,13.948,36.179,33.465
862,34.48,18,16,3,0,13.993,36.197,33.559
863,34.52,18,16,3,0,14.758,36.503,33.642
864,34.56,18,16,3,0,14.11,36.244,33.685
865,34.6,18,16,3,0,14.746,36.498,33.739
866,34.64,18,16,3,0,14.362,36.345,33.786
867,34.68,19,16,3,0,17.534,38.814,33.917
868,34.72,18,16,3,0,17.939,37.776,34.024
869,34.76,20,16,3,0,20.073,41.029,34.241
870,34.8,19,16,2,0,18.518,39.207,34.389
871,34.84,18,16,2,0,18.75,38.1,34.488
872,34.88,19,16,2,0,18.701,39.281,34.61
873,34.92,19,17,2,0,18.883,39.353,34.771
874,34.96,19,17,2,0,18.555,39.222,34.903
875,35.0,19,17,2,0,18.396,39.158,35.1
876,35.04,20,17,2,0,20.633,41.253,35.361
877,35.08,20,17,2,0,20.845,41.338,35.585
878,35.12,19,17,2,0,21.136,40.255,35.813
879,35.16,19,17,3,0,20.21,39.884,35.972
880,35.2,19,17,3,0,19.423,39.569,36.158
881,35.24,19,17,4,0,17.117,38.647,36.331
882,35.28,19,17,4,0,17.228,38.691,36.508
883,35.32,19,18,4,0,18.004,39.001,36.668
884,35.36,19,18,5,0,17.609,38.844,36.831
885,35.4,19,18,4,0,17.925,38.97,36.96
886,35.44,19,18,4,0,17.628,38.851,37.126
887,35.48,19,18,5,0,17.553,38.821,37.256
888,35.52,20,18,5,0,15.656,39.262,37.45
889,35.56,19,18,4,0,14.876,37.75,37.55
890,35.6,18,18,4,0,15.663,36.865,37.629
891,35.64,18,18,5,0,16.478,37.191,37.682
892,35.68,18,18,4,0,16.483,37.193,37.747
893,35.72,17,18,4,0,17.146,36.258,37.79
894,35.76,17,18,3,0,16.979,36.192,37.829
895,35.8,17,18,4,0,17.431,36.372,37.863
896,35.84,18,18,5,0,17.994,37.798,37.927
897,35.88,18,18,4,0,19.276,38.31,38.044
898,35.92,17,18,5,0,19.779,37.312,38.097
899,35.96,16,18,3,0,15.786,34.515,38.059
900,36.0,17,18,4,0,18.396,36.758,38.157
901,36.04,16,18,3,0,14.623,34.049,38.109
902,36.08,16,18,3,0,14.186,33.874,38.085
903,36.12,16,18,3,0,13.256,33.502,38.032
904,36.16,16,18,3,0,15.114,34.245,37.949
905,36.2,16,18,3,0,14.843,34.137,37.866
906,36.24,16,18,2,0,13.767,33.707,37.778
907,36.28,17,18,3,0,17.308,36.323,37.72
908,36.32,17,18,3,0,17.818,36.527,37.709
909,36.36,17,18,2,0,16.952,36.181,37.707
910,36.4,16,18,3,0,17.288,35.115,37.66
911,36.44,16,18,3,0,18.576,35.63,37.673
912,36.48,16,18,3,0,17.658,35.263,37.679
913,36.52,16,18,2,0,15.742,34.497,37.694
914,36.56,15,18,2,0,16.401,33.56,37.689
915,36.6,15,18,2,0,15.487,33.195,37.678
916,36.64,16,18,3,0,17.538,35.215,37.723
917,36.68,16,18,2,0,17.585,35.234,37.735
918,36.72,16,18,3,0,17.772,35.309,37.745
919,36.76,17,18,4,0,14.598,35.239,37.758
920,36.8,17,18,3,0,13.43,34.772,37.755
921,36.84,17,18,3,0,13.691,34.876,37.7
922,36.88,16,18,3,0,12.615,33.246,37.676
923,36.92,16,18,2,0,13.431,33.572,37.652
924,36.96,16,18,3,0,13.671,33.668,37.571
925,37.0,16,18,2,0,13.922,33.769,37.497
926,37.04,17,18,3,0,16.784,36.114,37.503
927,37.08,17,18,2,0,16.249,35.899,37.507
928,37.12,17,18,2,0,16.756,36.103,37.532
929,37.16,17,18,2,0,16.973,36.189,37.535
930,37.2,17,18,2,0,17.219,36.288,37.522
931,37.24,17,18,3,0,16.875,36.15,37.512
932,37.28,17,18,1,0,16.664,36.065,37.494
933,37.32,17,18,2,0,16.973,36.189,37.475
934,37.36,17,18,1,0,16.701,36.08,37.438
935,37.4,17,18,2,0,17.896,36.559,37.4
936,37.44,17,18,3,0,17.806,36.522,37.356
937,37.48,17,18,3,0,17.149,36.26,37.308
938,37.52,18,18,3,0,17.149,37.459,37.29
939,37.56,18,18,3,0,18.126,37.851,37.289
940,37.6,18,18,3,0,17.409,37.564,37.261
941,37.64,18,18,3,0,18.648,38.059,37.221
942,37.68,18,18,4,0,19.267,38.307,37.209
943,37.72,18,18,3,0,18.097,37.839,37.181
944,37.76,16,18,1,0,17.585,35.234,37.073
945,37.8,17,18,2,0,18.417,36.767,36.999
946,37.84,18,18,3,0,19.253,38.301,37.005
947,37.88,18,18,3,0,18.093,37.837,37.028
948,37.92,18,18,2,0,18.68,38.072,37.061
949,37.96,18,18,1,0,18.293,37.917,37.098
950,38.0,18,18,1,0,16.199,37.08,37.114
951,38.04,18,18,1,0,15.502,36.801,37.127
952,38.08,18,18,1,0,15.487,36.795,37.136
953,38.12,19,18,1,0,18.041,39.017,37.247
954,38.16,19,18,2,0,18.766,39.306,37.361
955,38.2,19,18,2,0,18.998,39.399,37.511
956,38.24,19,18,2,0,18.716,39.287,37.634
957,38.28,19,18,2,0,18.911,39.364,37.76
958,38.32,18,18,2,0,16.616,37.247,37.749
959,38.36,19,18,2,0,16.311,38.324,37.775
960,38.4,19,18,2,0,12.412,36.765,37.745
961,38.44,19,18,2,0,13.38,37.152,37.765
962,38.48,19,18,2,0,12.557,36.823,37.77
963,38.52,19,19,1,0,11.991,36.596,37.768
964,38.56,19,19,3,0,13.441,37.176,37.788
965,38.6,19,19,2,0,12.503,36.801,37.772
966,38.64,19,19,2,0,13.027,37.011,37.756
967,38.68,18,19,2,0,13.149,35.86,37.758
968,38.72,18,19,3,0,13.5,36.0,37.794
969,38.76,18,19,3,0,13.843,36.137,37.773
970,38.8,18,19,2,0,12.883,35.753,37.733
971,38.84,18,19,2,0,13.554,36.022,37.689
972,38.88,18,19,3,0,13.868,36.147,37.673
973,38.92,18,19,4,0,13.864,36.145,37.693
974,38.96,19,19,2,0,18.247,39.099,37.79
975,39.0,19,19,2,0,18.782,39.313,37.883
976,39.04,18,19,1,0,17.536,37.614,37.86
977,39.08,18,19,1,0,17.75,37.7,37.836
978,39.12,19,19,2,0,17.825,38.93,37.851
979,39.16,17,19,2,0,18.512,36.805,37.807
980,39.2,17,19,1,0,18.273,36.709,37.759
981,39.24,18,19,1,0,17.533,37.613,37.748
982,39.28,18,18,0,0,16.608,37.243,37.723
983,39.32,18,18,1,0,17.769,37.707,37.702
984,39.36,18,18,2,0,17.524,37.609,37.676
985,39.4,18,18,1,0,17.56,37.624,37.659
986,39.44,18,18,1,0,11.419,35.167,37.567
987,39.48,18,18,0,0,10.829,34.931,37.524
988,39.52,18,18,0,0,10.245,34.698,37.469
989,39.56,18,18,1,0,10.976,34.99,37.415
990,39.6,18,18,0,0,10.262,34.705,37.35
991,39.64,18,18,1,0,10.645,34.858,37.31
992,39.68,18,18,0,0,9.863,34.545,37.253
993,39.72,18,18,0,0,9.2,34.28,37.19
994,39.76,18,18,1,0,9.149,34.26,37.131
995,39.8,18,18,1,0,9.988,34.595,37.091
996,39.84,18,18,1,0,9.179,34.271,37.042
997,39.88,18,18,1,0,9.135,34.254,36.999
998,39.92,18,18,1,0,9.741,34.496,36.948
999,39.96,18,18,1,0,8.727,34.091,36.895
1000,40.0,18,18,1,0,9.863,34.545,36.849
1001,40.04,18,18,1,0,10.27,34.708,36.799
1002,40.08,18,18,1,0,9.906,34.562,36.771
1003,40.12,18,18,1,0,10.636,34.854,36.734
1004,40.16,18,18,2,0,11.337,35.135,36.666
1005,40.2,18,18,1,0,11.696,35.278,36.622
1006,40.24,18,18,1,0,11.771,35.308,36.57
1007,40.28,18,18,1,0,11.137,35.055,36.5
1008,40.32,18,18,2,0,12.008,35.403,36.446
1009,40.36,18,18,1,0,11.015,35.006,36.405
1010,40.4,18,18,1,0,12.119,35.448,36.393
1011,40.44,18,18,2,0,12.485,35.594,36.356
1012,40.48,18,18,1,0,12.881,35.752,36.289
1013,40.52,18,18,1,0,12.309,35.524,36.199
1014,40.56,18,18,1,0,12.179,35.471,36.116
1015,40.6,18,18,2,0,12.764,35.706,36.083
1016,40.64,18,18,1,0,13.061,35.825,36.06
1017,40.68,18,18,1,0,13.285,35.914,36.032
1018,40.72,17,18,2,0,13.497,34.799,35.971
1019,40.76,17,18,2,0,13.996,34.998,35.92
1020,40.8,17,17,2,0,14.126,35.051,35.868
1021,40.84,19,18,2,0,17.899,38.96,35.919
1022,40.88,19,18,2,0,18.927,39.371,35.965
1023,40.92,19,18,2,0,19.117,39.447,36.106
1024,40.96,18,18,2,0,17.595,37.638,36.194
1025,41.0,19,18,2,0,19.13,39.452,36.343
1026,41.04,20,18,2,0,20.519,41.208,36.503
1027,41.08,20,18,2,0,20.652,41.261,36.644
1028,41.12,20,18,2,0,19.943,40.977,36.748
1029,41.16,20,18,2,0,20.456,41.182,36.861
1030,41.2,20,18,2,0,20.739,41.296,36.967
1031,41.24,21,18,2,0,22.217,43.087,37.112
1032,41.28,21,18,2,0,22.189,43.076,37.308
1033,41.32,20,18,2,0,19.747,40.899,37.404
1034,41.36,21,18,2,0,20.354,42.342,37.541
1035,41.4,21,18,2,0,20.078,42.231,37.635
1036,41.44,20,18,1,0,17.99,40.196,37.678
1037,41.48,19,18,1,0,16.807,38.523,37.674
1038,41.52,20,18,2,0,26.13,43.452,37.808
1039,41.56,20,18,2,0,24.342,42.737,37.922
1040,41.6,19,18,2,0,24.7,41.68,37.999
1041,41.64,21,18,4,0,24.032,43.813,38.147
1042,41.68,21,18,4,0,22.373,43.149,38.28
1043,41.72,21,19,4,0,22.337,43.135,38.4
1044,41.76,20,19,3,0,22.167,41.867,38.494
1045,41.8,20,19,3,0,21.79,41.716,38.592
1046,41.84,20,19,3,0,21.689,41.676,38.674
1047,41.88,19,19,3,0,22.608,40.843,38.73
1048,41.92,20,19,3,0,22.893,42.157,38.817
1049,41.96,19,19,2,0,23.686,41.274,38.868
1050,42.0,17,19,1,0,24.835,39.334,38.863
1051,42.04,18,19,2,0,21.487,39.195,38.856
1052,42.08,20,19,4,0,21.564,41.626,38.92
1053,42.12,19,19,2,0,19.646,39.658,38.929
1054,42.16,20,19,2,0,21.532,41.613,38.966
1055,42.2,21,19,3,0,24.446,43.979,39.093
1056,42.24,20,19,4,0,21.613,41.645,39.151
1057,42.28,21,19,4,0,24.884,44.153,39.274
1058,42.32,20,19,3,0,19.292,40.717,39.302
1059,42.36,20,19,4,0,23.173,42.269,39.348
1060,42.4,21,19,3,0,22.647,43.259,39.42
