frame,timestamp_sec,live_vehicles,pred_vehicles_5s,overspeeding_vehicles,lane_crossings,speed_variation,risk_score,pred_risk_score_5s
87,3.48,19,21,4,0,13.832,37.333,42.41
88,3.52,19,21,4,0,13.531,37.212,41.881
89,3.56,19,21,3,0,13.32,37.128,41.37
90,3.6,18,21,3,0,12.304,35.522,40.669
91,3.64,18,21,3,0,12.445,35.578,40.015
92,3.68,18,21,3,0,12.113,35.445,39.38
93,3.72,18,21,3,0,11.384,35.154,38.743
94,3.76,17,21,3,0,11.794,34.118,38.009
95,3.8,17,21,3,0,11.923,34.169,37.322
96,3.84,18,21,3,0,13.903,36.161,36.916
97,3.88,17,21,3,0,11.583,34.033,36.277
98,3.92,19,21,3,0,15.255,37.902,36.129
99,3.96,19,21,3,0,15.288,37.915,35.992
100,4.0,19,21,4,0,18.091,39.036,35.992
101,4.04,18,21,3,0,15.379,36.752,35.735
102,4.08,18,21,3,0,15.6,36.84,35.503
103,4.12,19,21,2,0,14.813,37.725,35.38
104,4.16,19,21,3,0,14.691,37.676,35.26
105,4.2,20,21,4,0,19.138,40.655,35.461
106,4.24,21,21,4,0,21.589,42.836,35.88
107,4.28,20,22,3,0,19.517,40.807,36.073
108,4.32,20,22,3,0,17.492,39.997,36.177
109,4.36,21,22,3,0,23.081,43.432,36.618
110,4.4,21,22,3,0,23.264,43.506,37.047
111,4.44,21,22,3,0,21.258,42.703,37.38
112,4.48,21,23,3,0,21.53,42.812,37.709
113,4.52,21,23,3,0,21.126,42.651,38.01
114,4.56,20,23,3,0,21.165,41.466,38.188
115,4.6,20,23,3,0,21.038,41.415,38.355
116,4.64,20,23,3,0,20.885,41.354,38.509
117,4.68,20,23,3,0,18.857,40.543,38.585
118,4.72,20,23,4,0,19.276,40.711,38.673
119,4.76,19,23,3,0,11.927,36.571,38.402
120,4.8,18,23,2,0,10.45,34.78,37.989
